offChipTempValue,offChipTempStatus,offChipTempMessage,onboardBrightnessValue,onboardBrightnessStatus,onboardBrightnessMessage,onboardTemperatureValue,onboardTemperatureStatus,onboardHumidityValue,onboardHumidityStatus,onboardTemperatureMessage,onboardHumidityMessage,barometerTemperaturValue,barometerTemperaturStatus,barometerPressureValue,barometerPressureStatus,barometerTemperatureMessage,barometerPressureMessage,presenceValue,presenceStatus,presenceMessage,rilevationTime,imei,props
21.0,OK,,0.0,OK,,22.0,OK,33.0,OK,,,24.0,OK,101384.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T10:22:37.000065,000000001b982f0d,[]
22.0,OK,,255.0,OK,,22.0,OK,34.0,OK,,,24.0,OK,101365.0,OK,,,0,OK,No humans detected!,2020-01-12T10:22:33.000282,000000001b982f0d,[]
22.0,OK,,0.0,OK,,22.0,OK,34.0,OK,,,24.0,OK,101366.0,OK,,,0,OK,No humans detected!,2020-01-12T10:20:56.000483,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,36.0,OK,,,24.0,OK,101362.0,OK,,,0,OK,No humans detected!,2020-01-12T10:19:33.000993,000000001b982f0d,[]
22.0,OK,,65535.0,OK,,22.0,OK,34.0,OK,,,23.0,OK,101357.0,OK,,,0,OK,No humans detected!,2020-01-12T10:18:34.000150,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101361.0,OK,,,0,OK,No humans detected!,2020-01-12T10:18:09.000571,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,35.0,OK,,,24.0,OK,101357.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T10:17:24.000469,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101359.0,OK,,,0,OK,No humans detected!,2020-01-12T10:16:54.000619,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101355.0,OK,,,0,OK,No humans detected!,2020-01-12T10:15:26.000700,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101349.0,OK,,,0,OK,No humans detected!,2020-01-12T10:15:22.000715,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,35.0,OK,,,24.0,OK,101366.0,OK,,,0,OK,No humans detected!,2020-01-12T10:13:41.000233,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,36.0,OK,,,24.0,OK,101362.0,OK,,,0,OK,No humans detected!,2020-01-12T10:13:40.000589,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,36.0,OK,,,24.0,OK,101365.0,OK,,,0,OK,No humans detected!,2020-01-12T10:12:33.000679,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,36.0,OK,,,24.0,OK,101364.0,OK,,,0,OK,No humans detected!,2020-01-12T10:12:31.000041,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101357.0,OK,,,0,OK,No humans detected!,2020-01-12T10:11:56.000905,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101358.0,OK,,,0,OK,No humans detected!,2020-01-12T10:11:22.000255,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101354.0,OK,,,0,OK,No humans detected!,2020-01-12T10:11:01.000534,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101355.0,OK,,,0,OK,No humans detected!,2020-01-12T10:10:38.000762,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101347.0,OK,,,0,OK,No humans detected!,2020-01-12T10:09:43.000604,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,36.0,OK,,,24.0,OK,101366.0,OK,,,0,OK,No humans detected!,2020-01-12T10:09:17.000591,000000001b982f0d,[]
21.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101351.0,OK,,,0,OK,No humans detected!,2020-01-12T10:09:15.000767,000000001b982f0d,[]
21.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101351.0,OK,,,0,OK,No humans detected!,2020-01-12T10:09:12.000195,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101349.0,OK,,,0,OK,No humans detected!,2020-01-12T10:08:37.000110,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101355.0,OK,,,0,OK,No humans detected!,2020-01-12T10:08:21.000629,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101330.0,OK,,,0,OK,No humans detected!,2020-01-12T10:08:11.000777,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101338.0,OK,,,0,OK,No humans detected!,2020-01-12T10:08:09.000657,000000001b982f0d,[]
21.0,OK,,2.0,OK,,23.0,OK,33.0,OK,,,24.0,OK,101354.0,OK,,,0,OK,No humans detected!,2020-01-12T10:07:52.000956,000000001b982f0d,[]
21.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101349.0,OK,,,0,OK,No humans detected!,2020-01-12T10:07:38.000089,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101337.0,OK,,,0,OK,No humans detected!,2020-01-12T10:07:37.000216,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101348.0,OK,,,0,OK,No humans detected!,2020-01-12T10:07:21.000823,000000001b982f0d,[]
21.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101347.0,OK,,,0,OK,No humans detected!,2020-01-12T10:07:20.000506,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101332.0,OK,,,0,OK,No humans detected!,2020-01-12T10:07:19.000400,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,36.0,OK,,,24.0,OK,101357.0,OK,,,0,OK,No humans detected!,2020-01-12T10:07:16.000377,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,35.0,OK,,,24.0,OK,101363.0,OK,,,0,OK,No humans detected!,2020-01-12T10:07:00.000569,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101345.0,OK,,,0,OK,No humans detected!,2020-01-12T10:06:33.000900,000000001b982f0d,[]
21.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101345.0,OK,,,0,OK,No humans detected!,2020-01-12T10:06:05.000641,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101355.0,OK,,,0,OK,No humans detected!,2020-01-12T10:05:32.000633,000000001b982f0d,[]
21.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101346.0,OK,,,0,OK,No humans detected!,2020-01-12T10:05:14.000040,000000001b982f0d,[]
23.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101363.0,OK,,,0,OK,No humans detected!,2020-01-12T10:05:02.000596,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101338.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T10:04:53.000152,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101344.0,OK,,,0,OK,No humans detected!,2020-01-12T10:04:47.000594,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101336.0,OK,,,1,OK,Live body detected within 5 seconds!,2020-01-12T10:04:45.000342,000000001b982f0d,[]
21.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101334.0,OK,,,0,OK,No humans detected!,2020-01-12T10:04:23.000753,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101338.0,OK,,,0,OK,No humans detected!,2020-01-12T10:04:22.000039,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101366.0,OK,,,0,OK,No humans detected!,2020-01-12T10:04:20.000843,000000001b982f0d,[]
22.0,OK,,2.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101334.0,OK,,,0,OK,No humans detected!,2020-01-12T10:04:02.000364,000000001b982f0d,[]
22.0,OK,,1.0,OK,,23.0,OK,34.0,OK,,,24.0,OK,101346.0,OK,,,0,OK,No humans detected!,2020-01-12T10:03:57.000721,000000001b982f0d,[]
